docid,date,hottness
201319,2009-12-17 18:30:00+00:00,1376.6771213
201322,2009-11-16 18:30:00+00:00,1317.1571213
202346,2009-12-30 18:30:00+00:00,1401.6371213
202642,2009-12-21 18:30:00+00:00,1384.3571213
203149,2009-02-12 18:30:00+00:00,785.44206
203267,2009-12-26 18:30:00+00:00,1393.9571213
203278,2009-12-26 18:30:00+00:00,1393.48
203667,2009-08-06 18:30:00+00:00,1121.14103
204866,2009-12-28 18:30:00+00:00,1398.2742425
204867,2009-12-10 18:30:00+00:00,1363.45897
204896,2009-12-26 18:30:00+00:00,1393.9571213
205157,2009-01-17 18:30:00+00:00,735.3971213
205488,2009-12-15 18:30:00+00:00,1372.36
205499,2009-09-06 18:30:00+00:00,1180.36
205501,2009-12-30 18:30:00+00:00,1401.16
206144,2009-12-30 18:30:00+00:00,1401.6371213
206993,2009-12-26 18:30:00+00:00,1394.17897
208232,2009-12-28 18:30:00+00:00,1397.32
209449,2009-03-07 18:30:00+00:00,830.0791812
209451,2009-03-07 18:30:00+00:00,830.1760913
209453,2009-12-07 18:30:00+00:00,1358.0791812
209455,2009-03-07 18:30:00+00:00,830.0791812
209457,2009-11-02 18:30:00+00:00,1290.7542425
210452,2009-12-20 18:30:00+00:00,1381.96
210886,2009-03-09 18:30:00+00:00,832.84
211047,2009-12-21 18:30:00+00:00,1384.3571213
212806,2008-04-26 18:30:00+00:00,224.6771213
212821,2009-12-30 18:30:00+00:00,1401.6371213
213024,2009-12-12 18:30:00+00:00,1366.6
213328,2009-12-30 18:30:00+00:00,1401.6371213
213352,2009-12-15 18:30:00+00:00,1372.8371213
213612,2009-12-29 18:30:00+00:00,1399.54103
213614,2009-12-30 18:30:00+00:00,1401.16
213651,2009-12-16 18:30:00+00:00,1374.7571213
214256,2009-12-27 18:30:00+00:00,1395.8771213
214343,2009-12-30 18:30:00+00:00,1401.16
214506,2009-12-30 18:30:00+00:00,1401.6371213
215087,2009-09-24 18:30:00+00:00,1214.92
215287,2007-05-24 18:30:00+00:00,-424.76
215292,2009-12-28 18:30:00+00:00,1397.62103
215639,2009-12-20 18:30:00+00:00,1381.96
216644,2009-12-30 18:30:00+00:00,1401.46103
216748,2009-12-07 18:30:00+00:00,1357.0
216979,2009-12-30 18:30:00+00:00,1401.6371213
217296,2007-05-05 18:30:00+00:00,-459.6167507
217297,2008-05-16 18:30:00+00:00,263.99794
217298,2006-08-28 18:30:00+00:00,-940.0639087
217299,2008-05-16 18:30:00+00:00,263.90103
217300,2008-05-15 18:30:00+00:00,262.0417278
217301,2008-08-11 18:30:00+00:00,431.0202112
217302,2009-03-07 18:30:00+00:00,830.2552725
217303,2006-10-18 18:30:00+00:00,-841.9397888
217661,2009-12-05 18:30:00+00:00,1353.16
217729,2009-12-29 18:30:00+00:00,1399.7171213
217749,2007-05-01 18:30:00+00:00,-468.4428787
217985,2009-09-15 18:30:00+00:00,1198.1171213
218201,2009-01-26 18:30:00+00:00,752.89897
218275,2009-12-29 18:30:00+00:00,1399.24
218316,2008-07-28 18:30:00+00:00,403.06103
219123,2009-12-30 18:30:00+00:00,1402.2391812
219124,2009-03-07 18:30:00+00:00,829.7781513
219478,2009-11-28 18:30:00+00:00,1339.72
219890,2009-12-19 18:30:00+00:00,1380.04
219939,2009-12-12 18:30:00+00:00,1366.6
220031,2009-01-05 18:30:00+00:00,712.3571213
220327,2009-10-07 18:30:00+00:00,1239.88
220330,2009-12-30 18:30:00+00:00,1401.16
220839,2009-12-30 18:30:00+00:00,1401.16
221026,2009-12-16 18:30:00+00:00,1374.58103
221442,2009-12-30 18:30:00+00:00,1401.16
221686,2009-12-20 18:30:00+00:00,1382.26103
223088,2009-03-07 18:30:00+00:00,829.4771213
223093,2009-12-30 18:30:00+00:00,1401.6371213
223121,2009-12-30 18:30:00+00:00,1401.6371213
224465,2009-12-30 18:30:00+00:00,1401.46103
